arch,seed,total_params,attention_params_per_layer,train_tokens,mean_step_seconds,p50_step_seconds,p95_step_seconds,train_throughput_tok_s,peak_vram_gib,tail_ce_std,eval_loss,perplexity,next_token_accuracy,copy_span_accuracy,retrieval_accuracy
ASLA-P1,1234,9278304,124544,4096000,0.04029572361868639,0.03994118649984557,0.04222421540011965,50824.25170918827,1.0475316047668457,0.14956053871772823,8.943584442138672,7658.599722238615,0.1600341796875,0.0,0.0
MLA,1234,9278328,124550,4096000,0.03018324559444372,0.030114050000065617,0.030810351399850333,67852.21269832578,1.043992519378662,0.08453560896653914,8.942421436309814,7649.697903557642,0.16015625,0.0,0.0
ASLA-P1,2025,9278304,124544,4096000,0.04040947190302416,0.04002877599987187,0.042643079850017786,50681.18694831872,1.1866040229797363,0.1309493480213161,8.504826784133911,4938.548712546068,0.164794921875,0.021205357142857144,0.0
MLA,2025,9278328,124550,4096000,0.030107966570702763,0.030050105500095015,0.03065886994968423,68021.86375458688,1.1825156211853027,0.08555726506578097,8.95576810836792,7752.480288466741,0.16015625,0.0,0.0
ASLA-P1,3407,9278304,124544,4096000,0.040284744828281045,0.039940140999988216,0.04214382869995461,50838.10282849912,1.327354907989502,0.08640971325445779,8.96762752532959,7844.967523041699,0.16015625,0.0,0.0
MLA,3407,9278328,124550,4096000,0.030124251619190544,0.030069488499975705,0.03067307300025277,67985.09141038143,1.3205504417419434,0.08531979913185424,8.969871401786804,7862.590425387856,0.16015625,0.0,0.0
