seed,eval_loss_delta_asla_minus_mla,throughput_delta_asla_minus_mla,peak_vram_delta_asla_minus_mla_gib
1234,0.0011630058288574219,-17027.960989137508,0.0035390853881835938
2025,-0.4509413242340088,-17340.676806268166,0.004088401794433594
3407,-0.0022438764572143555,-17146.98858188231,0.006804466247558594
