arch,n_seeds,eval_loss_mean,eval_loss_std,perplexity_mean,perplexity_std,next_token_accuracy_mean,next_token_accuracy_std,copy_span_accuracy_mean,copy_span_accuracy_std,train_throughput_tok_s_mean,train_throughput_tok_s_std,p50_step_seconds_mean,p50_step_seconds_std,p95_step_seconds_mean,p95_step_seconds_std,peak_vram_gib_mean,peak_vram_gib_std,tail_ce_std_mean,tail_ce_std_std,total_params_mean,total_params_std,attention_params_per_layer_mean,attention_params_per_layer_std,prefill_latency_ms_p50_seq2048,theoretical_cache_elements_per_token_layer,radar_quality,radar_prefill_latency,radar_vram_efficiency,radar_stability,radar_cache_efficiency_theoretical,radar_throughput
ASLA-P1,3,8.805346250534058,0.26053498752836046,6814.038652608794,1626.8927825002515,0.16166178385416666,0.002714063500268928,0.007068452380952381,0.012242918654690725,50781.18049533537,86.87344508115908,0.039970034499901885,5.087431701291505e-05,0.04233704131669735,0.0002680675163061529,1.187163511912028,0.1399124906057664,0.12230653333116738,0.03245042948096835,9278304.0,0.0,124544.0,0.0,13.155012999959581,44,1.0,0.33043334888647014,0.9959477771215828,0.6960998354099849,1.0,0.7472979659573916
MLA,3,8.95602031548818,0.013726720565947806,7754.922872470746,106.46727725113236,0.16015625,0.0,0.0,0.0,67953.05595443136,89.24725794708648,0.03007788133337878,3.278802385813187e-05,0.030714098116595777,8.365974279379839e-05,1.182352860768636,0.13827903302268424,0.08513755772139145,0.0005346533877617436,9278328.0,0.0,124550.0,0.0,4.346855000221694,93,0.9831762256396903,1.0,1.0,1.0,0.4731182795698925,1.0
